Name
Okc
Mil
Den
Lal
Dal
Min
Bos
Pho
Phi
Det
Nyk
Orl
Cha
Sac
Nor
Gol
San
Atl
Bro
Cle
Chi
Mia
Mem
Lac
Tor
Hou
Was
Ind
Por
Uta
