ID,Name,Team ID,Points per Game,Rebounds per Game,Assists per Game
573,Adama Sanogo,21,2,1.5,0.3
574,Jalen Hood-Schifino,4,2,0.5,0.5
575,MarJon Beauchamp,2,2,1.2,0.3
576,Josh Christopher,22,2,0.6,0.6
577,Bobi Klintman,10,1.9,0.9,0.9
578,Kobe Brown,24,1.9,1.6,0.6
579,Ariel Hukporti,11,1.9,2,0.4
580,Jordan McLaughlin,14,1.9,0.8,0.9
581,Garrett Temple,25,1.9,1,1.1
582,Jahmir Young,21,1.8,0.5,1
583,Trentyn Flowers,24,1.8,0.7,0
584,Adam Flagler,1,1.8,0.7,0.3
585,E.J. Liddell,21,1.8,0.8,0.3
586,Vlatko Cancar,3,1.8,2.5,0.7
587,Emanuel Miller,21,1.7,1.3,0.3
588,Alex Ducas,1,1.7,1.2,0.2
589,Pacome Dadiet,11,1.7,1,0.3
590,PJ Hall,3,1.7,1.2,0.2
591,Jaden Springer,7,1.7,0.9,0.4
592,Markieff Morris,5,1.7,1.1,0.6
593,Tristan Thompson,20,1.7,3.4,0.6
594,Phillip Wheeler,9,1.6,1.6,0.4
595,Yuki Kawamura,23,1.6,0.5,0.9
596,Armel Traore,4,1.6,1.7,0.1
597,Jordan Walsh,7,1.6,1.3,0.4
598,Jericho Sims,11,1.6,3.3,0.6
599,Jack McVeigh,26,1.6,0.6,0.1
600,Kevin McCullar Jr.,11,1.5,2,0.5
601,Quincy Olivari,4,1.5,0,0.5
602,Jazian Gortman,5,1.5,0.3,0.4
603,Leonard Miller,6,1.5,0.8,0
604,Matt Ryan,11,1.5,0.4,0.2
605,Cam Christie,24,1.4,0.9,0.5
606,Chris Livingston,2,1.4,1.7,0.2
607,Trey Alexander,3,1.4,0.5,0.5
608,Colin Castleton,23,1.4,0.9,0
609,Alex Len,14,1.4,1.8,0.8
610,Bones Hyland,6,1.3,0.3,1
611,Skal Labissiere,14,1.3,0.8,0.3
612,Spencer Jones,3,1.3,0.9,0.3
613,Sidy Cissoko,17,1.3,0.6,0.4
614,Jalen Bridges,8,1.1,0.5,0
615,Colby Jones,14,1.1,1,0.3
616,Braxton Key,16,1,0.7,0
617,Daniss Jenkins,10,1,0.3,0.4
618,Yuri Collins,16,1,1.5,2
619,Jaylen Martin,19,1,0,0
620,Reece Beekman,16,1,0.5,0.5
621,Luke Travers,20,1,1.7,0.7
622,Jared Rhoden,13,1,1,0.5
623,Bryce McGowens,29,1,0.2,0.2
624,Xavier Tillman,7,1,1.3,0.2
625,Elfrid Payton,13,1,2.2,3.3
626,Anton Watson,11,0.9,0.3,0.2
627,Isaiah Crawford,14,0.9,0.5,0.1
628,Justin Minaya,29,0.9,0.5,0.4
629,Harrison Ingram,17,0.8,1.8,0.6
630,D.J. Carton,25,0.8,1,0.8
631,PJ Dozier,6,0.8,0.6,0.6
632,Joe Ingles,6,0.8,0.6,1.2
633,Ulrich Chomche,25,0.7,1.1,0.3
634,Liam Robbins,2,0.7,0.9,0.2
635,Stanley Umude,2,0.7,0.8,0.2
636,James Johnson,28,0.7,0.5,0.3
637,Cui Yongxi,19,0.6,0.4,0
638,Tristen Newton,28,0.6,0,0.2
639,Maxwell Lewis,4,0.6,0.3,0.3
640,Jacob Toppin,11,0.4,0.7,0.3
641,Malevy Leons,1,0.3,0.5,0.2
642,Daishen Nix,6,0.3,1.3,1
643,Terence Davis,14,0,1,1
644,Isaiah Stevens,22,0,0.7,0
645,Terry Taylor,14,0,0.3,0.7
646,Vasilije Micic,8,0,0.4,0.2
647,Jesse Edwards,6,0,0,0.5
648,Riley Minix,17,0,2,0
649,Zyon Pullin,23,0,0,0
650,Tristen Newton,6,0,1.3,0.3
651,Cole Swider,10,0,1,0.5
652,Mac McClung,12,0,0.5,1.5
653,Jalen McDaniels,27,0,0,0.3
654,Jahlil Okafor,28,0,1,1
