ID,Name,Team ID,Points per Game,Rebounds per Game,Assists per Game
133,Kevin Huerter,21,13.2,3.3,3.2
134,Rui Hachimura,4,13.1,5,1.4
135,Alexandre Sarr,27,13,6.5,2.4
136,Brook Lopez,2,13,5,1.8
137,Moritz Wagner,12,12.9,4.9,1.4
138,D'Angelo Russell,19,12.9,2.8,5.6
139,Scoot Henderson,29,12.7,3,5.1
140,Keldon Johnson,17,12.7,4.8,1.6
141,Malcolm Brogdon,27,12.7,3.8,4.1
142,Zaccharie Risacher,18,12.6,3.6,1.2
143,Khris Middleton,2,12.6,3.7,4.4
144,Santi Aldama,23,12.5,6.4,2.9
145,Ty Jerome,20,12.5,2.5,3.4
146,Keegan Murray,14,12.4,6.7,1.4
147,Lonnie Walker IV,9,12.4,3.2,2.5
148,D'Angelo Russell,4,12.4,2.8,4.7
149,Bilal Coulibaly,27,12.3,5,3.4
150,Ayo Dosunmu,21,12.3,3.5,4.5
151,Daniel Gafford,5,12.3,6.8,1.4
152,Harrison Barnes,17,12.3,3.8,1.7
153,Jabari Smith Jr.,26,12.2,7,1.1
154,Jaden McDaniels,6,12.2,5.7,2
155,Drew Timme,19,12.1,7.2,2.2
156,Georges Niang,18,12.1,3,1.6
157,Tari Eason,26,12,6.4,1.5
158,Aaron Wiggins,1,12,3.9,1.8
159,Aaron Nesmith,28,12,4,1.2
160,Rudy Gobert,6,12,10.9,1.8
161,Jalen Duren,10,11.8,10.3,2.7
162,Moses Brown,5,11.8,7.8,0.5
163,Brandin Podziemski,16,11.7,5.1,3.4
164,Kevin Porter Jr.,2,11.7,3.9,3.7
165,Donte DiVincenzo,6,11.7,3.7,3.6
166,Corey Kispert,27,11.6,3,1.7
167,Jared Butler,9,11.5,2.5,4.9
168,Tre Jones,21,11.5,3.2,4.9
169,Jonas Valanciunas,27,11.5,8.2,2.2
170,Kai Jones,5,11.4,6.6,1.3
171,Jared Rhoden,25,11.4,3.8,1.4
172,Jeremy Sochan,17,11.4,6.5,2.4
173,Bogdan Bogdanovic,24,11.4,3.1,3.2
174,Toumani Camara,29,11.3,5.8,2.2
175,Max Christie,5,11.2,4.2,2.5
176,Walker Kessler,30,11.1,12.2,1.7
177,Gary Trent Jr.,2,11.1,2.3,1.2
178,Isaiah Hartenstein,1,11.1,10.7,3.8
179,Buddy Hield,16,11.1,3.2,1.6
180,Jrue Holiday,7,11.1,4.3,3.9
181,Duncan Robinson,22,11,2.3,2.4
182,Guerschon Yabusele,9,11,5.6,2.1
183,Spencer Dinwiddie,5,11,2.6,4.4
184,Tim Hardaway Jr.,10,11,2.4,1.6
185,Brice Sensabaugh,30,10.9,3,1.5
186,Jordan Hawkins,15,10.8,2.8,1.2
187,Dennis Schroder,10,10.8,2.6,5.3
188,Nikola Jovic,22,10.7,3.9,2.8
189,Brandon Boston Jr.,15,10.7,3.2,2.2
190,Kelly Olynyk,15,10.7,5.9,3.6
191,Khris Middleton,27,10.7,3.7,3.4
192,Keon Johnson,19,10.6,3.8,2.2
193,Grayson Allen,8,10.6,3,2.1
194,Terry Rozier,22,10.6,3.7,2.6
195,Dennis Schroder,16,10.6,2.3,4.4
196,Obi Toppin,28,10.5,4,1.6
197,Jaylen Wells,23,10.4,3.4,1.7
198,Ochai Agbaji,25,10.4,3.8,1.5
199,Grant Williams,13,10.4,5.1,2.3
200,Dorian Finney-Smith,19,10.4,4.6,1.6
201,Jose Alvarado,15,10.3,2.4,4.6
202,Davion Mitchell,22,10.3,2.7,5.3
203,Herbert Jones,15,10.3,3.9,3.3
204,Nic Claxton,19,10.3,7.4,2.2
205,Trendon Watford,19,10.2,3.6,2.6
206,Isaiah Joe,1,10.2,2.6,1.6
207,Quentin Grimes,5,10.2,3.8,2.1
208,De'Anthony Melton,16,10.2,3.3,2.8
209,Caris LeVert,20,10.2,2.8,3.7
210,Tyus Jones,8,10.2,2.4,5.3
211,Justin Edwards,9,10.1,3.4,1.6
212,Ausar Thompson,10,10.1,5.1,2.3
213,Keion Brooks Jr.,15,10.1,4.1,0.9
214,Luguentz Dort,1,10.1,4.1,1.6
215,Derrick Jones Jr.,24,10.1,3.4,0.8
216,Ziaire Williams,19,10,4.6,1.3
217,Andrew Nembhard,28,10,3.3,5
218,Chris Boucher,25,10,4.5,0.7
219,Bogdan Bogdanovic,18,10,2.8,2
220,Nick Smith Jr.,13,9.9,2.1,2.4
221,Scotty Pippen Jr.,23,9.9,3.3,4.4
222,Julian Champagnie,17,9.9,3.9,1.4
223,Carlton Carrington,27,9.8,4.2,4.4
224,Moses Moody,16,9.8,2.6,1.3
225,Terance Mann,18,9.8,3.1,2.1
226,Amir Coffey,24,9.7,2.2,1.1
227,Kyle Filipowski,30,9.6,6.1,1.9
228,Tosan Evbuomwan,19,9.5,4.3,2
229,Jalen Wilson,19,9.5,3.4,1.8
230,Miles McBride,11,9.5,2.5,2.9
231,Nick Richards,8,9.5,8.6,0.6
232,Tristan Vukcevic,27,9.4,3.7,1.1
233,Cam Whitmore,26,9.4,3,1
234,Anthony Black,12,9.4,3,3.1
235,Cole Anthony,12,9.4,3,2.9
236,Nickeil Alexander-Walker,6,9.4,3.2,2.7
237,Max Strus,20,9.4,4.3,3.2
238,Kel'el Ware,22,9.3,7.4,0.9
239,Kevin Porter Jr.,24,9.3,3.6,3.2
240,Marcus Smart,27,9.3,1.9,2.5
