ID,Name
4,Lal
27,Was
2,Mil
23,Mem
7,Bos
4,Lal
9,Phi
14,Sac
7,Bos
8,Pho
24,Lac
4,Lal
28,Ind
28,Ind
9,Phi
7,Bos
27,Was
14,Sac
21,Chi
5,Dal
29,Por
11,Nyk
1,Okc
21,Chi
4,Lal
2,Mil
22,Mia
10,Det
24,Lac
11,Nyk
14,Sac
25,Tor
21,Chi
24,Lac
1,Okc
21,Chi
3,Den
21,Chi
1,Okc
11,Nyk
3,Den
7,Bos
5,Dal
20,Cle
9,Phi
23,Mem
4,Lal
7,Bos
11,Nyk
26,Hou
11,Nyk
4,Lal
5,Dal
6,Min
11,Nyk
24,Lac
2,Mil
3,Den
23,Mem
14,Sac
6,Min
14,Sac
3,Den
17,San
8,Pho
14,Sac
16,Gol
10,Det
16,Gol
19,Bro
16,Gol
20,Cle
13,Cha
29,Por
7,Bos
13,Cha
11,Nyk
14,Sac
29,Por
17,San
25,Tor
6,Min
6,Min
25,Tor
2,Mil
2,Mil
28,Ind
19,Bro
28,Ind
4,Lal
11,Nyk
1,Okc
6,Min
14,Sac
22,Mia
14,Sac
8,Pho
6,Min
17,San
23,Mem
6,Min
10,Det
12,Orl
27,Was
28,Ind
