ID,Name,Team,Current?,Position,Age,Games Played,Minutes/Game,Usage %,Turnover %,Free Throw Attempts,Free Throw %,2-pt Attempts,2-Point %,3-pt Attempts,3-Point %,Effective FG %,True Shooting %,Points per Game,Rebounds per Game,Assists per Game,Steals per Game,Blocks per Game,Turovers per Game,Points + Rebounds,Points + Assists,Points + Rebounds + Assists,Versatility Index,Offensive Rating,Defensive Rating,Team ID,,,Unique team IDs,
26,Cam Thomas,Bro,*,G,23.5,25,31.2,32.6,12,151,0.881,259,0.506,195,0.349,0.513,0.575,24,3.3,3.8,0.6,0.1,2.5,27.3,27.8,31.1,8.6,111.6,116.2,19,,,Hou,26
27,Donovan Mitchell,Cle,*,G,28.6,71,31.4,30.9,10.1,362,0.823,687,0.512,633,0.368,0.531,0.575,24,4.5,5,1.3,0.2,2.1,28.5,28.9,33.5,10.4,117.8,109.5,20,,,Was,27
28,Zach LaVine,Chi,,G,30.1,42,34.1,26.6,14.6,182,0.797,405,0.56,305,0.446,0.607,0.637,24,4.8,4.5,0.9,0.2,2.9,28.8,28.5,33.3,9.4,115.1,115.8,21,,,Ind,28
29,Tyler Herro,Mia,*,G,25.2,77,35.4,28,12.6,327,0.878,707,0.566,670,0.375,0.564,0.605,23.9,5.2,5.5,0.9,0.2,2.6,29.1,29.4,34.6,10,116.7,113.9,22,,,Por,29
30,Joel Embiid,Phi,*,C-F,31.1,19,30.2,34.2,16.4,169,0.882,238,0.492,77,0.299,0.481,0.58,23.8,8.2,4.5,0.7,0.9,3.3,31.9,28.3,36.4,12.7,113.9,112.2,9,,,Uta,30
31,Ja Morant,Mem,*,G,25.7,50,30.4,32.2,17.2,319,0.824,604,0.523,285,0.309,0.504,0.563,23.2,4.1,7.3,1.2,0.2,3.7,27.3,30.5,34.6,11.7,112.1,110.5,23,,,,
32,James Harden,Lac,*,G,35.6,79,35.3,29.6,20.8,578,0.874,627,0.472,668,0.352,0.501,0.582,22.8,5.8,8.7,1.5,0.7,4.3,28.6,31.5,37.3,11.9,113.4,107.7,24,,,,
33,Zach LaVine,Sac,*,G,30.1,32,36.6,23.7,14.5,103,0.874,282,0.564,231,0.446,0.611,0.642,22.4,3.5,3.8,0.6,0.1,2.7,25.9,26.2,29.7,7.3,116.5,117.2,14,,,,
34,Jaren Jackson Jr.,Mem,*,F-C,25.6,74,29.8,28.2,11.2,398,0.781,825,0.541,389,0.375,0.548,0.591,22.2,5.6,2,1.2,1.5,2.1,27.8,24.2,29.8,8.4,114.7,104.7,23,,,,
35,Jaylen Brown,Bos,*,G-F,28.5,63,34.3,28.9,12.7,322,0.764,760,0.529,358,0.324,0.515,0.555,22.2,5.8,4.5,1.2,0.3,2.6,28,26.7,32.6,9.7,112.1,106.9,7,,,,
36,Brandon Ingram,Nor,*,F,27.6,18,33.1,30.2,17.1,55,0.855,218,0.514,115,0.374,0.53,0.56,22.2,5.6,5.2,0.9,0.6,3.8,27.8,27.4,32.9,10.4,103.5,116.2,15,,,,
37,DeMar DeRozan,Sac,*,G-F,35.7,77,35.9,25,7.4,441,0.857,1053,0.513,256,0.328,0.509,0.569,22.2,3.9,4.4,0.8,0.4,1.4,26.1,26.6,30.5,8.1,120.2,116.1,14,,,,
38,Quentin Grimes,Phi,*,G,24.9,28,33.7,27.5,14.9,133,0.752,238,0.559,220,0.373,0.559,0.592,21.9,5.2,4.5,1.5,0.4,2.9,27,26.4,31.6,9.5,112.5,115,9,,,,
39,Norman Powell,Lac,*,G,31.9,60,32.6,26.1,10.3,265,0.804,517,0.538,428,0.418,0.578,0.615,21.8,3.2,2.1,1.2,0.2,1.8,24.9,23.9,27,6.5,116.4,109.6,24,,,,
40,Jalen Williams,Okc,*,G-F,24,69,32.4,27.5,11.4,299,0.789,828,0.533,340,0.365,0.537,0.573,21.6,5.3,5.2,1.6,0.7,2.2,26.9,26.8,32.1,10.4,115.7,104.6,1,,,,
41,Kawhi Leonard,Lac,*,F,33.8,37,31.9,27.7,10.4,121,0.81,433,0.536,190,0.411,0.56,0.589,21.5,5.9,3.1,1.6,0.5,1.9,27.4,24.6,30.6,9.2,114.1,108,24,,,,
42,Jamal Murray,Den,*,G,28.1,67,36.1,24,11,246,0.886,724,0.518,397,0.393,0.543,0.584,21.4,3.9,6,1.4,0.5,2.1,25.3,27.4,31.4,8.8,119.2,115.1,3,,,,
43,Trey Murphy III,Nor,*,F,24.8,53,35,23.7,10.9,230,0.887,401,0.556,438,0.361,0.548,0.598,21.2,5.1,3.5,1.1,0.7,1.9,26.3,24.8,29.8,8.3,117.8,118.3,15,,,,
44,RJ Barrett,Tor,*,F-G,24.8,58,32.2,28.7,14.4,311,0.63,676,0.522,306,0.35,0.523,0.547,21.1,6.3,5.4,0.8,0.3,2.8,27.4,26.5,32.8,11.1,107.3,111,25,,,,
45,CJ McCollum,Nor,*,G,33.6,56,32.7,27.2,9.6,173,0.717,540,0.506,460,0.372,0.53,0.55,21.1,3.8,4.1,0.8,0.4,1.9,24.9,25.2,29,8.4,110.2,118.7,15,,,,
46,Brandon Miller,Cha,*,F,22.4,27,34.2,27.7,13.4,79,0.861,198,0.475,293,0.355,0.509,0.54,21,4.9,3.6,1.1,0.7,2.8,25.9,24.7,29.5,8.4,103.8,112.4,13,,,,
47,Jalen Green,Hou,*,G,23.2,82,32.9,27.3,12.4,336,0.813,776,0.482,661,0.354,0.505,0.544,21,4.6,3.4,0.9,0.3,2.5,25.6,24.5,29,8.4,109.9,110.7,26,,,,
48,Darius Garland,Cle,*,G,25.2,75,30.7,27.2,13.9,255,0.878,645,0.53,529,0.401,0.562,0.6,20.6,2.9,6.7,1.2,0.1,2.5,23.4,27.3,30.2,9.6,121.1,111.2,20,,,,
49,Jordan Poole,Was,*,G,25.8,68,29.4,29,16.2,274,0.883,434,0.512,622,0.378,0.544,0.591,20.5,3,4.4,1.3,0.4,3,23.4,24.9,27.9,8.8,109.2,114,27,,,,
50,Coby White,Chi,*,G,25.2,74,33.1,24.5,13.6,307,0.902,537,0.544,584,0.37,0.55,0.601,20.4,3.7,4.5,0.9,0.2,2.4,24.1,24.9,28.5,8.4,114.3,114.7,21,,,,
51,Miles Bridges,Cha,*,F,27.1,64,31.7,28,11.1,254,0.87,639,0.513,450,0.313,0.495,0.541,20.3,7.5,3.9,0.7,0.7,2.1,27.8,24.2,31.7,10.6,109.8,114.2,13,,,,
52,Austin Reaves,Lal,*,G,26.9,73,34.9,23.7,14.6,366,0.877,506,0.547,531,0.377,0.556,0.616,20.2,4.5,5.8,1.1,0.3,2.4,24.7,26,30.5,9.3,121.5,112.6,4,,,,
53,Pascal Siakam,Ind,*,F,31,78,32.7,24.2,8.4,308,0.734,858,0.568,324,0.389,0.572,0.599,20.2,6.9,3.4,0.9,0.5,1.4,27.2,23.6,30.5,9.5,120.3,110.3,28,,,,
54,Anthony Davis,Dal,*,F-C,32.1,9,29.6,31.2,11.6,48,0.688,122,0.516,30,0.233,0.484,0.52,20,10.1,4.4,0.6,2.2,2.2,30.1,24.4,34.6,13,107,109.1,5,,,,
55,De'Aaron Fox,San,*,G,27.3,17,34,26,12.8,72,0.819,185,0.535,95,0.274,0.493,0.537,19.7,4.3,6.8,1.5,0.3,2.4,24,26.5,30.8,9.8,110.9,112.8,17,,,,
