ID,Name,Team,Current?,Position,Age,Games Played,Minutes/Game,Usage %,Turnover %,Free Throw Attempts,Free Throw %,2-pt Attempts,2-Point %,3-pt Attempts,3-Point %,Effective FG %,True Shooting %,Points per Game,Rebounds per Game,Assists per Game,Steals per Game,Blocks per Game,Turovers per Game,Points + Rebounds,Points + Assists,Points + Rebounds + Assists,Versatility Index,Offensive Rating,Defensive Rating,Team ID,,,Unique team IDs,
110,Josh Giddey,Chi,*,G,22.5,70,30.2,21.7,20.2,224,0.781,520,0.512,278,0.378,0.531,0.57,14.6,8.1,7.2,1.2,0.6,2.9,22.7,21.8,29.9,12.6,115.2,111.5,21,,,,
111,Kyle Kuzma,Mil,*,F,29.7,33,31.8,21.4,15.7,104,0.663,240,0.533,153,0.333,0.52,0.545,14.5,5.6,2.2,0.5,0.4,2.2,20.1,16.7,22.3,7.1,100.2,110.4,2,,,,
112,Jakob Poeltl,Tor,*,C,29.5,57,29.6,18.7,16.1,144,0.674,576,0.628,3,0.333,0.628,0.641,14.5,9.6,2.8,1.2,1.2,1.9,24.1,17.2,26.8,9.9,121.1,104.9,25,,,,
113,Gradey Dick,Tor,*,G-F,21.4,54,29.4,21,11.4,155,0.858,321,0.47,326,0.35,0.498,0.543,14.4,3.6,1.8,0.9,0.2,1.5,18,16.2,19.8,6.2,106.5,112.7,25,,,,
114,Deandre Ayton,Por,*,C,26.7,40,30.1,19.4,12.8,60,0.667,436,0.594,32,0.188,0.573,0.583,14.4,10.2,1.6,0.8,1,1.7,24.6,16,26.2,8.2,113.8,108.3,29,,,,
115,Jerami Grant,Por,*,F,31.1,47,32.4,19.4,10.2,166,0.849,278,0.381,296,0.365,0.467,0.523,14.4,3.5,2.1,0.9,1,1.4,17.9,16.6,20,5.8,109,113.2,29,,,,
116,Payton Pritchard,Bos,*,G,27.2,80,28.4,19.1,8.8,84,0.845,240,0.642,626,0.407,0.62,0.633,14.3,3.8,3.5,0.9,0.2,1.1,18.1,17.8,21.6,8.1,130.3,110.6,7,,,,
117,De'Andre Hunter,Cle,*,F-G,27.4,27,25.1,20.5,7.8,78,0.821,129,0.55,141,0.426,0.596,0.634,14.3,4.2,1.3,0.7,0.3,0.9,18.5,15.6,19.8,6.8,124.8,105.6,20,,,,
118,Naz Reid,Min,*,C-F,25.6,80,27.5,21.5,10.5,143,0.776,461,0.544,462,0.379,0.556,0.577,14.2,6,2.3,0.7,0.9,1.4,20.2,16.5,22.5,8.4,114.6,104.9,6,,,,
119,Amen Thompson,Hou,*,G-F,22.2,69,32.3,17.4,16.5,247,0.684,606,0.599,91,0.275,0.575,0.602,14.1,8.2,3.8,1.4,1.3,2,22.2,17.9,26.1,9.4,121.3,105.2,26,,,,
120,Dyson Daniels,Atl,*,G,22.1,76,33.8,18.2,14.4,140,0.593,688,0.545,235,0.34,0.536,0.545,14.1,5.9,4.4,3,0.7,2,20,18.5,24.4,8.5,109.7,110,18,,,,
121,Tre Mann,Cha,*,G,24.2,13,24.5,26,13.4,21,0.905,101,0.455,60,0.4,0.509,0.537,14.1,2.9,3,0.5,0.3,1.9,17,17.1,20,8.1,105.2,114.7,13,,,,
122,Fred VanVleet,Hou,*,G,31.1,60,35.2,17.6,10.3,136,0.816,298,0.43,461,0.345,0.483,0.515,14.1,3.7,5.6,1.6,0.4,1.5,17.8,19.6,23.3,7.5,116.4,108.5,26,,,,
123,Tolu Smith,Det,*,F,24.7,1,22.4,23.2,17.7,3,0.667,9,0.667,0,0,0.667,0.678,14,8,0,0,0,2,22,14,22,0,119.2,103.6,10,,,,
124,Dillon Brooks,Hou,*,G-F,29.2,75,31.8,17.7,7.8,122,0.811,426,0.465,469,0.397,0.533,0.555,14,3.7,1.7,0.8,0.2,1,17.7,15.7,19.4,5.6,116.6,106,26,,,,
125,Klay Thompson,Dal,*,G,35.2,72,27.3,21.8,9.1,74,0.905,324,0.448,553,0.391,0.535,0.552,14,3.4,2,0.7,0.4,1.2,17.4,16,19.4,6.7,108.4,116.8,5,,,,
126,Tobias Harris,Det,*,F,32.7,73,31.6,17.6,9.5,166,0.861,541,0.542,264,0.345,0.534,0.571,13.7,5.9,2.2,1,0.8,1.2,19.6,15.9,21.9,7.1,115.5,110.5,10,,,,
127,Josh Hart,Nyk,*,G,30.1,77,37.6,15.3,17,205,0.776,518,0.618,252,0.333,0.579,0.611,13.6,9.6,5.9,1.5,0.4,2.1,23.2,19.5,29.1,9.8,124.8,107.9,11,,,,
128,Bobby Portis,Mil,*,F,30.2,50,24.9,24.1,8.7,73,0.836,417,0.508,178,0.365,0.52,0.542,13.6,8.2,2.1,0.7,0.5,1.1,21.8,15.7,23.9,9.9,110.9,105.1,2,,,,
129,Jarrett Allen,Cle,*,C,27,82,28,15.9,13.2,277,0.718,635,0.712,5,0,0.706,0.724,13.5,9.7,1.9,0.9,0.9,1.2,23.2,15.4,25.1,9,141.1,106.5,20,,,,
130,Onyeka Okongwu,Atl,*,F-C,24.3,74,27.9,17.3,11.6,216,0.759,536,0.634,148,0.324,0.602,0.634,13.4,8.9,2.3,0.9,0.9,1.2,22.3,15.6,24.5,9.3,128.5,108.2,18,,,,
131,Russell Westbrook,Den,*,G,36.4,75,27.9,23.8,22.5,233,0.661,540,0.517,291,0.323,0.505,0.532,13.3,4.9,6.1,1.4,0.5,3.2,18.2,19.3,24.3,10.5,104.4,109.2,3,,,,
132,Naji Marshall,Dal,*,F,27.2,69,27.8,20,13.6,160,0.813,494,0.611,218,0.275,0.551,0.584,13.2,4.8,3,1,0.2,1.6,18,16.3,21,8.3,114.5,113.6,5,,,,
133,Kevin Huerter,Chi,*,G-F,26.6,26,30,17.9,9.3,21,0.714,108,0.546,186,0.376,0.558,0.566,13.2,3.3,3.2,1.2,0.3,1.2,16.5,16.3,19.6,6.9,111.8,114,21,,,,
134,Rui Hachimura,Lal,*,F,27.2,59,31.7,15.8,7.8,113,0.77,329,0.581,247,0.413,0.597,0.619,13.1,5,1.4,0.8,0.4,0.8,18.1,14.6,19.6,5.7,123.2,113,4,,,,
135,Alexandre Sarr,Was,*,C,20,67,27.1,23.5,12.1,165,0.679,487,0.454,341,0.308,0.457,0.482,13,6.5,2.4,0.7,1.5,1.7,19.5,15.4,21.9,8.7,98.7,114.2,27,,,,
136,Brook Lopez,Mil,*,C,37,80,31.8,15.8,9.8,138,0.826,401,0.636,373,0.373,0.599,0.624,13,5,1.8,0.6,1.9,1.1,18,14.8,19.8,6.2,122,110.7,2,,,,
137,Moritz Wagner,Orl,*,F-C,28,30,18.8,26.8,16.4,110,0.718,174,0.649,75,0.36,0.616,0.649,12.9,4.9,1.4,0.8,0.4,1.6,17.8,14.3,19.2,9.5,117.6,101.2,12,,,,
138,D'Angelo Russell,Bro,*,G,29.1,29,24.7,25.9,15.1,92,0.826,135,0.467,192,0.297,0.454,0.508,12.9,2.8,5.6,1.1,0.7,2,15.7,18.4,21.2,9.5,107.6,110.6,19,,,,
139,Scoot Henderson,Por,*,G,21.2,66,26.7,22.5,20.5,206,0.767,388,0.469,297,0.354,0.496,0.54,12.7,3,5.1,1,0.2,2.7,15.7,17.8,20.8,8.7,107,109.4,29,,,,
140,Keldon Johnson,San,*,F-G,25.5,77,23.9,21.6,9.1,194,0.773,496,0.573,274,0.318,0.538,0.572,12.7,4.8,1.6,0.6,0.3,1,17.5,14.3,19.2,7.7,115.3,114.6,17,,,,
141,Malcolm Brogdon,Was,*,G,32.3,24,23.5,23.7,13.7,92,0.88,184,0.478,56,0.286,0.467,0.544,12.7,3.8,4.1,0.5,0.2,1.6,16.5,16.8,20.6,9.9,112.8,119.1,27,,,,
142,Zaccharie Risacher,Atl,*,F,20,75,24.6,20.9,10.5,149,0.711,436,0.539,344,0.355,0.536,0.557,12.6,3.6,1.2,0.7,0.5,1.2,16.1,13.8,17.4,6.2,108,113,18,,,,
143,Khris Middleton,Mil,,F,33.7,23,23.2,22,14.9,46,0.848,125,0.584,86,0.407,0.595,0.627,12.6,3.7,4.4,0.7,0.2,1.6,16.3,17,20.7,10.2,121,105.8,2,,,,
144,Santi Aldama,Mem,*,F-C,24.3,65,25.5,18.5,9.9,94,0.691,322,0.599,326,0.368,0.576,0.588,12.5,6.4,2.9,0.8,0.4,1.1,18.9,15.4,21.8,9.6,121.8,111.6,23,,,,
145,Ty Jerome,Cle,*,G-F,27.8,70,19.9,23.6,13,148,0.872,365,0.57,253,0.439,0.606,0.643,12.5,2.5,3.4,1.1,0,1.3,15,15.9,18.4,9.5,127.4,108.6,20,,,,
146,Keegan Murray,Sac,*,F,24.7,76,34.3,15,6.8,72,0.833,371,0.566,449,0.343,0.538,0.553,12.4,6.7,1.4,0.8,0.9,0.8,19.1,13.8,20.5,5.7,116.2,112.7,14,,,,
147,Lonnie Walker IV,Phi,*,G-F,26.3,20,23.8,22.8,10.5,30,0.8,85,0.518,127,0.354,0.526,0.548,12.4,3.2,2.5,0.5,0.3,1.3,15.5,14.9,18,7.8,108.4,117.2,9,,,,
148,D'Angelo Russell,Lal,,G,29.1,29,26.3,22.1,13.8,53,0.849,143,0.51,168,0.333,0.505,0.537,12.4,2.8,4.7,0.8,0.1,1.7,15.1,17,19.8,8.3,109.7,111.9,4,,,,
149,Bilal Coulibaly,Was,*,G,20.7,59,33,17.9,16.7,185,0.746,400,0.5,224,0.281,0.472,0.515,12.3,5,3.4,1.3,0.7,2.1,17.3,15.7,20.7,7.2,102.6,116.8,27,,,,
150,Ayo Dosunmu,Chi,*,G,25.2,46,30.3,16.6,13.3,79,0.785,260,0.612,189,0.328,0.561,0.585,12.3,3.5,4.5,0.9,0.4,1.5,15.8,16.8,20.3,7.6,117.2,113.3,21,,,,
151,Daniel Gafford,Dal,*,F-C,26.5,57,21.5,19.5,14.1,196,0.689,403,0.702,0,0,0.702,0.716,12.3,6.8,1.4,0.4,1.8,1.2,19.1,13.7,20.5,9.1,137.4,105.3,5,,,,
152,Harrison Barnes,San,*,F,32.9,82,27.2,15.7,6.8,199,0.809,323,0.591,360,0.433,0.622,0.656,12.3,3.8,1.7,0.5,0.2,0.6,16.1,14,17.8,6.3,132.1,119.7,17,,,,
153,Jabari Smith Jr.,Hou,*,F,21.9,57,30.1,16.4,9.9,126,0.825,289,0.519,277,0.354,0.525,0.562,12.2,7,1.1,0.4,0.7,1.1,19.3,13.3,20.3,6,116.8,107.2,26,,,,
154,Jaden McDaniels,Min,*,F,24.5,82,31.9,16.3,10.2,128,0.813,531,0.561,303,0.33,0.537,0.562,12.2,5.7,2,1.3,0.9,1.2,17.9,14.2,19.9,6.5,115,105.5,6,,,,
155,Drew Timme,Bro,*,F,24.6,9,28.2,21.4,12.8,16,0.625,67,0.537,35,0.257,0.485,0.5,12.1,7.2,2.2,0.4,0.1,1.7,19.3,14.3,21.6,8.2,100.5,110.2,19,,,,
156,Georges Niang,Atl,*,F,31.8,28,23,20.3,11.1,29,0.793,88,0.5,184,0.413,0.581,0.595,12.1,3,1.6,0.4,0.3,1.2,15.1,13.7,16.6,6.7,110.8,110.1,18,,,,
157,Tari Eason,Hou,*,F,23.9,57,24.9,19.4,10.4,104,0.76,375,0.557,184,0.342,0.543,0.567,12,6.4,1.5,1.7,0.9,1.1,18.4,13.5,19.8,7.8,117.8,101.5,26,,,,
158,Aaron Wiggins,Okc,*,G,26.3,76,22.9,20.3,8.7,89,0.831,389,0.578,339,0.383,0.577,0.596,12,3.9,1.8,0.8,0.2,0.9,15.9,13.8,17.7,7.7,119.1,107.5,1,,,,
159,Aaron Nesmith,Ind,*,G-F,25.5,45,25,17.4,8.9,80,0.913,184,0.587,195,0.431,0.617,0.653,12,4,1.2,0.8,0.4,0.8,16,13.2,17.2,6.2,123.9,108.2,28,,,,
160,Rudy Gobert,Min,*,C,32.8,72,33.2,13,14.9,273,0.674,510,0.669,0,0,0.669,0.687,12,10.9,1.8,0.8,1.4,1.2,22.9,13.8,24.7,7.4,137.2,104.9,6,,,,
161,Jalen Duren,Det,*,C,21.4,78,26.1,16.3,19.9,242,0.669,546,0.692,0,0,0.692,0.703,11.8,10.3,2.7,0.7,1.1,1.7,22.1,14.4,24.8,10.6,132.8,100.6,10,,,,
162,Moses Brown,Dal,*,C,25.5,4,18.3,21.6,14.5,6,0.833,29,0.724,0,0,0.724,0.743,11.8,7.8,0.5,1,0.8,1.3,19.5,12.3,20,7.8,130,96.5,5,,,,
163,Brandin Podziemski,Gol,*,G,22.1,64,26.8,18.3,10.6,95,0.758,320,0.516,309,0.372,0.537,0.557,11.7,5.1,3.4,1.1,0.2,1.2,16.8,15.1,20.2,8.8,116.1,109.3,16,,,,
164,Kevin Porter Jr.,Mil,*,G-F,24.9,30,19.9,24.8,17.5,93,0.871,174,0.529,71,0.408,0.553,0.616,11.7,3.9,3.7,1.3,0.1,1.7,15.7,15.5,19.4,11.1,118.1,104.8,2,,,,
165,Donte DiVincenzo,Min,*,G,28.2,62,25.9,19.4,14.2,63,0.778,156,0.487,438,0.397,0.567,0.581,11.7,3.7,3.6,1.2,0.3,1.6,15.3,15.3,19,8.3,114.5,107.3,6,,,,
166,Corey Kispert,Was,*,F,26.1,61,26.3,17.5,10.2,88,0.852,235,0.574,330,0.364,0.558,0.584,11.6,3,1.7,0.4,0.2,1,14.5,13.2,16.2,5.9,112.1,119.7,27,,,,
167,Jared Butler,Phi,*,G,24.6,28,24.3,22.2,15.5,46,0.87,149,0.49,128,0.352,0.507,0.54,11.5,2.5,4.9,1.1,0.3,1.8,13.9,16.4,18.9,8.6,110.4,114,9,,,,
168,Tre Jones,Chi,*,G,25.3,18,25.3,16,8.8,34,0.882,123,0.585,22,0.5,0.61,0.647,11.5,3.2,4.9,1.1,0.3,0.8,14.7,16.4,19.6,8.9,138.6,115.7,21,,,,
169,Jonas Valanciunas,Was,,C,32.9,49,20,23.8,17.2,106,0.896,395,0.567,27,0.259,0.556,0.602,11.5,8.2,2.2,0.4,0.6,1.8,19.8,13.7,22,11.8,114.8,108.3,27,,,,
170,Kai Jones,Dal,*,C-F,24.2,12,21.7,14.8,9.8,20,0.7,70,0.857,3,0.333,0.842,0.837,11.4,6.6,1.3,0.8,0.8,0.7,18,12.7,19.3,8.5,157.9,106.2,5,,,,
171,Jared Rhoden,Tor,*,G,25.6,10,21.5,19.1,9.2,25,0.88,42,0.667,37,0.324,0.582,0.633,11.4,3.8,1.4,0.9,0.2,0.8,15.2,12.8,16.6,7.3,126.1,109.6,25,,,,
172,Jeremy Sochan,San,*,F,21.9,54,25.3,18.9,15,125,0.696,377,0.592,92,0.304,0.565,0.589,11.4,6.5,2.4,0.8,0.5,1.5,17.9,13.8,20.3,8.9,116.4,109.8,17,,,,
173,Bogdan Bogdanovic,Lac,*,G,32.7,30,25,18.6,12.1,32,0.875,125,0.528,143,0.427,0.588,0.608,11.4,3.1,3.2,0.7,0.2,1.2,14.5,14.7,17.8,7.7,119.7,105.7,24,,,,
174,Toumani Camara,Por,*,F,24.9,78,32.7,14.4,13.3,126,0.722,356,0.542,360,0.375,0.552,0.572,11.3,5.8,2.2,1.5,0.6,1.4,17.1,13.6,19.3,6.4,116.3,109.5,29,,,,
175,Max Christie,Dal,*,G,22.2,32,30.4,16.8,13.9,65,0.862,151,0.457,151,0.364,0.502,0.543,11.2,4.2,2.5,0.9,0.3,1.5,15.4,13.7,17.9,6.4,105.6,115.7,5,,,,
176,Walker Kessler,Uta,*,C,23.7,58,30,13.7,17,152,0.52,385,0.706,35,0.171,0.669,0.658,11.1,12.2,1.7,0.6,2.4,1.5,23.2,12.7,24.9,8.2,128.1,112.8,30,,,,
177,Gary Trent Jr.,Mil,*,G,26.2,74,25.6,17.1,6,92,0.848,224,0.46,433,0.416,0.568,0.591,11.1,2.3,1.2,1,0.1,0.6,13.4,12.3,14.6,4.9,115,111,2,,,,
178,Isaiah Hartenstein,Okc,*,C-F,26.9,57,27.9,16.7,16.7,117,0.675,460,0.604,19,0,0.58,0.599,11.1,10.7,3.8,0.8,1.1,1.7,21.9,15,25.7,11,123.8,96.5,1,,,,
179,Buddy Hield,Gol,*,G,32.3,82,22.7,20.5,10.4,65,0.831,237,0.527,549,0.37,0.546,0.56,11.1,3.2,1.6,0.8,0.3,1.1,14.4,12.8,16,6.8,108.3,108.9,16,,,,
180,Jrue Holiday,Bos,*,G,34.8,62,30.6,15.8,11.8,77,0.909,267,0.547,306,0.353,0.538,0.565,11.1,4.3,3.9,1.1,0.4,1.2,15.4,14.9,19.2,7.5,120.9,109.9,7,,,,
181,Duncan Robinson,Mia,*,F,31,74,24.1,19.2,11.5,53,0.887,180,0.556,483,0.393,0.581,0.595,11,2.3,2.4,0.5,0.1,1.2,13.3,13.4,15.7,6.5,112.3,110.6,22,,,,
182,Guerschon Yabusele,Phi,*,F,29.3,70,27.1,16.3,13.4,138,0.725,289,0.616,274,0.38,0.593,0.616,11,5.6,2.1,0.8,0.3,1.2,16.6,13.1,18.7,7.5,121.7,112.7,9,,,,
183,Spencer Dinwiddie,Dal,*,G,32,79,27,17.9,13,243,0.802,356,0.492,326,0.334,0.496,0.553,11,2.6,4.4,0.9,0.2,1.3,13.7,15.5,18.1,7.4,116.1,115.2,5,,,,
184,Tim Hardaway Jr.,Det,*,G-F,33.1,77,28,15.5,6.6,145,0.855,223,0.484,457,0.368,0.529,0.567,11,2.4,1.6,0.5,0.1,0.6,13.3,12.6,14.9,5,117.1,115.6,10,,,,
185,Brice Sensabaugh,Uta,*,F,21.5,71,20.2,21.5,15.1,73,0.89,227,0.52,372,0.422,0.59,0.612,10.9,3,1.5,0.6,0.1,1.5,13.8,12.4,15.4,7.2,110.7,116.1,30,,,,
186,Jordan Hawkins,Nor,*,G,23,56,23.6,21,9.4,98,0.816,224,0.433,332,0.331,0.471,0.504,10.8,2.8,1.2,0.5,0.4,1,13.6,12,14.8,5.6,100.6,121.8,15,,,,
187,Dennis Schroder,Det,*,G,31.6,28,25.2,19.7,12.2,96,0.833,145,0.434,106,0.302,0.442,0.515,10.8,2.6,5.3,0.5,0.2,1.3,13.4,16,18.7,8.4,116.5,111,10,,,,
188,Nikola Jovic,Mia,*,F,21.8,46,25.1,18.3,13.7,87,0.828,168,0.56,210,0.371,0.558,0.593,10.7,3.9,2.8,0.8,0.3,1.3,14.7,13.6,17.5,7.8,115.3,108.9,22,,,,
189,Brandon Boston Jr.,Nor,*,G,23.4,42,23.6,20,12,85,0.788,241,0.485,140,0.35,0.5,0.535,10.7,3.2,2.2,1.3,0.2,1.2,13.9,12.9,16,7.2,107.2,116,15,,,,
190,Kelly Olynyk,Nor,*,F-C,34,20,25.4,18.2,21.4,65,0.754,114,0.535,36,0.389,0.547,0.596,10.7,5.9,3.6,0.9,0.6,2.1,16.5,14.3,20.1,9.6,115,109.6,15,,,,
191,Khris Middleton,Was,*,F,33.7,14,22.1,22,13.1,38,0.868,79,0.494,47,0.277,0.464,0.526,10.7,3.7,3.4,1.3,0.2,1.4,14.4,14.1,17.9,9.3,108.8,114.2,27,,,,
192,Keon Johnson,Bro,*,G,23.1,79,24.4,21.7,13,139,0.77,378,0.468,401,0.314,0.47,0.499,10.6,3.8,2.2,1,0.4,1.5,14.4,12.8,16.6,7.3,99.7,107.5,19,,,,
193,Grayson Allen,Pho,*,G,29.5,64,24.1,17.6,13.3,114,0.816,139,0.504,350,0.426,0.6,0.631,10.6,3,2.1,0.8,0.3,1.2,13.7,12.8,15.8,6.7,118.6,117.1,8,,,,
194,Terry Rozier,Mia,*,G,31.1,64,25.9,20.4,10.9,108,0.852,327,0.48,308,0.295,0.462,0.497,10.6,3.7,2.6,0.6,0.2,1.2,14.3,13.2,16.9,7.2,102.7,113.1,22,,,,
195,Dennis Schroder,Gol,,G,31.6,24,26.2,21.2,16,39,0.744,136,0.419,115,0.322,0.448,0.474,10.6,2.3,4.4,1,0.1,2,12.9,15,17.3,7.3,98.7,106.1,16,,,,
196,Obi Toppin,Ind,*,F,27.1,79,19.6,20.1,10.2,114,0.781,298,0.695,301,0.365,0.621,0.642,10.5,4,1.6,0.6,0.4,0.9,14.6,12.2,16.2,8.3,121.5,110.4,28,,,,
197,Jaylen Wells,Mem,*,F,21.6,79,25.9,15.9,9.3,135,0.822,284,0.525,391,0.353,0.527,0.56,10.4,3.4,1.7,0.6,0.1,0.9,13.8,12.1,15.5,6,116.8,112.6,23,,,,
198,Ochai Agbaji,Tor,*,G,25,64,27.2,14.6,9.2,48,0.708,281,0.587,253,0.399,0.593,0.601,10.4,3.8,1.5,0.9,0.5,0.8,14.2,12,15.7,5.7,117,112.6,25,,,,
199,Grant Williams,Cha,*,F,26.4,16,29.9,14.8,18.5,37,0.838,49,0.551,74,0.365,0.549,0.596,10.4,5.1,2.3,1.1,0.8,1.8,15.5,12.7,17.8,6.6,111.8,109.6,13,,,,
200,Dorian Finney-Smith,Bro,,F,31.9,20,29,14.2,10.2,24,0.625,51,0.51,108,0.435,0.607,0.613,10.4,4.6,1.6,0.9,0.6,0.9,15,12,16.5,5.9,120.2,110.6,19,,,,
201,Jose Alvarado,Nor,*,G,27,56,24.4,19.8,14.2,74,0.811,212,0.439,309,0.359,0.498,0.523,10.3,2.4,4.6,1.3,0.3,1.5,12.8,15,17.4,7.9,109.8,117.6,15,,,,
202,Davion Mitchell,Mia,*,G,26.6,30,31.6,14.2,17.7,47,0.702,138,0.543,94,0.447,0.595,0.611,10.3,2.7,5.3,1.4,0.3,1.7,13,15.6,18.4,6.7,121,110.1,22,,,,
203,Herbert Jones,Nor,*,F,26.5,20,32.4,14.6,16.9,40,0.825,100,0.53,72,0.306,0.5,0.541,10.3,3.9,3.3,1.9,0.5,1.8,14.2,13.5,17.4,6.3,107.5,113.2,15,,,,
204,Nic Claxton,Bro,*,C,26,70,26.9,16.8,13.3,154,0.513,547,0.576,21,0.238,0.568,0.569,10.3,7.4,2.2,0.9,1.4,1.2,17.7,12.6,19.9,8.2,114.9,109.3,19,,,,
205,Trendon Watford,Bro,*,G-F,24.4,44,20.7,23.3,19.2,122,0.762,262,0.515,88,0.33,0.51,0.557,10.2,3.6,2.6,0.6,0.3,1.9,13.9,12.8,16.5,8.8,105.1,108.5,19,,,,
206,Isaiah Joe,Okc,*,G,25.8,74,21.7,17.2,6.1,56,0.821,122,0.549,466,0.412,0.604,0.617,10.2,2.6,1.6,0.6,0.1,0.5,12.9,11.8,14.5,6.4,124.8,107.3,1,,,,
207,Quentin Grimes,Dal,,G,24.9,47,22.8,18.5,14.3,81,0.765,164,0.543,201,0.398,0.573,0.599,10.2,3.8,2.1,0.7,0.2,1.3,14,12.4,16.2,7.6,113.9,112,5,,,,
208,De'Anthony Melton,Gol,*,G,26.9,6,20.2,23.5,15.6,8,0.5,19,0.474,35,0.371,0.528,0.53,10.2,3.3,2.8,1.2,0.3,1.7,13.5,13,16.3,9,104.1,99,16,,,,
209,Caris LeVert,Cle,,G,30.6,38,23.8,18.1,14.6,83,0.699,150,0.5,148,0.405,0.554,0.58,10.2,2.8,3.7,0.9,0.5,1.3,13,13.9,16.7,7.9,118.7,111.7,20,,,,
210,Tyus Jones,Pho,*,G,28.9,81,26.8,16.2,11.8,57,0.895,282,0.496,401,0.414,0.57,0.585,10.2,2.4,5.3,0.9,0.1,1.1,12.7,15.5,18,7.6,124.3,122.1,8,,,,
211,Justin Edwards,Phi,*,F,21.3,44,26.3,16.8,11.5,46,0.696,188,0.548,190,0.363,0.546,0.559,10.1,3.4,1.6,1,0.4,1.1,13.5,11.7,15,5.8,109.3,114.1,9,,,,
212,Ausar Thompson,Det,*,G-F,22.2,59,22.5,19.1,14.8,142,0.641,411,0.572,49,0.224,0.547,0.568,10.1,5.1,2.3,1.7,0.7,1.4,15.2,12.3,17.5,8.7,114.8,101.2,10,,,,
213,Keion Brooks Jr.,Nor,*,F,24.7,14,23.7,17.1,9.9,30,0.733,66,0.591,43,0.326,0.55,0.581,10.1,4.1,0.9,0.7,0.7,0.9,14.3,11.1,15.2,5.6,113.6,114.3,15,,,,
214,Luguentz Dort,Okc,*,G,26,71,29.2,13.6,7.9,46,0.717,180,0.489,413,0.412,0.578,0.586,10.1,4.1,1.6,1.1,0.5,0.7,14.3,11.7,15.9,5.5,120.1,103.3,1,,,,
215,Derrick Jones Jr.,Lac,*,F,28.2,77,24.3,16.5,10.1,118,0.703,370,0.627,219,0.356,0.593,0.609,10.1,3.4,0.8,1,0.4,0.9,13.6,10.9,14.3,5,118.1,106.5,24,,,,
216,Ziaire Williams,Bro,*,F,23.6,63,24.5,18.2,11.4,123,0.821,218,0.509,302,0.341,0.511,0.55,10,4.6,1.3,1,0.4,1.1,14.6,11.4,15.9,6.4,108.6,108.3,19,,,,
217,Andrew Nembhard,Ind,*,G-F,25.2,65,28.9,16.3,17.2,136,0.794,364,0.538,175,0.291,0.506,0.545,10,3.3,5,1.2,0.2,1.7,13.4,15.1,18.4,7.6,111.3,110.9,28,,,,
218,Chris Boucher,Tor,*,F,32.3,50,17.2,21.2,7.3,87,0.782,177,0.633,193,0.363,0.586,0.615,10,4.5,0.7,0.5,0.5,0.6,14.5,10.7,15.2,7.3,122.4,109.6,25,,,,
219,Bogdan Bogdanovic,Atl,,G,32.7,24,24.9,18.9,14.2,34,0.882,78,0.5,146,0.301,0.469,0.502,10,2.8,2,0.8,0.3,1.5,12.8,12,14.8,6.1,98.1,111.4,18,,,,
220,Nick Smith Jr.,Cha,*,G,21,60,22.8,20.8,12.6,46,0.935,262,0.45,306,0.34,0.482,0.502,9.9,2.1,2.4,0.3,0.1,1.4,12,12.3,14.4,6.5,99.9,117.2,13,,,,
221,Scotty Pippen Jr.,Mem,*,G,24.4,79,21.3,19.4,18.8,171,0.713,375,0.528,220,0.395,0.552,0.581,9.9,3.3,4.4,1.3,0.4,1.7,13.1,14.3,17.5,9.8,116.8,104.2,23,,,,
222,Julian Champagnie,San,*,F,23.8,82,23.6,17.2,10,94,0.904,185,0.53,480,0.371,0.549,0.577,9.9,3.9,1.4,0.7,0.4,0.9,13.8,11.3,15.2,6.4,112.6,115.1,17,,,,
223,Carlton Carrington,Was,*,G,19.7,82,30,15.8,15.9,85,0.812,341,0.475,407,0.339,0.493,0.514,9.8,4.2,4.4,0.7,0.3,1.7,14,14.3,18.4,7.5,103.8,116.4,27,,,,
224,Moses Moody,Gol,*,G,22.9,74,22.3,17.4,8.7,133,0.797,231,0.519,337,0.374,0.544,0.578,9.8,2.6,1.3,0.8,0.4,0.7,12.3,11.1,13.6,5.8,116.2,110,16,,,,
225,Terance Mann,Atl,*,G-F,28.5,30,22.7,15.5,9.5,36,0.667,130,0.646,88,0.386,0.619,0.629,9.8,3.1,2.1,0.6,0.1,0.8,12.9,11.9,14.9,7,125.8,112.8,18,,,,
226,Amir Coffey,Lac,*,G-F,27.8,72,24.3,15.3,8.1,129,0.891,264,0.527,247,0.409,0.568,0.613,9.7,2.2,1.1,0.6,0.1,0.6,11.9,10.7,13,4.7,121.9,109.7,24,,,,
227,Kyle Filipowski,Uta,*,C,21.4,72,21.1,18.7,16.4,143,0.65,298,0.614,220,0.35,0.576,0.594,9.6,6.1,1.9,0.7,0.3,1.4,15.7,11.5,17.6,9.1,114.2,109.3,30,,,,
228,Tosan Evbuomwan,Bro,*,F,24.2,28,23.8,19.1,15,73,0.753,143,0.49,77,0.312,0.482,0.53,9.5,4.3,2,0.9,0.4,1.4,13.8,11.5,15.8,7.3,105.4,110.6,19,,,,
229,Jalen Wilson,Bro,*,F,24.4,79,25.7,16.6,11.3,165,0.818,258,0.481,362,0.337,0.495,0.541,9.5,3.4,1.8,0.5,0.1,1,12.9,11.3,14.7,6,110.4,113.1,19,,,,
